src_tokens,trg_tokens,src_tokens_word,trg_tokens_word,src_ids,trg_ids,src_ids_word,trg_ids_word,src_len,trg_len,src_len_word,trg_len_word
"['▁who', '?']","['▁को', '?']",['▁who?'],['▁को?'],"[2, 213, 6, 3]","[2, 132, 5, 3]","[2, 1, 3]","[2, 1681, 3]",4,4,3,3
"['▁hide', '.']","['▁लुक', 'ाउनुहोस्', '।']",['▁hide.'],['▁लुकाउनुहोस्।'],"[2, 2096, 4, 3]","[2, 2295, 438, 4, 3]","[2, 2687, 3]","[2, 2968, 3]",4,5,3,3
"['▁hide', '.']","['▁लुक', '।']",['▁hide.'],['▁लुक।'],"[2, 2096, 4, 3]","[2, 2295, 4, 3]","[2, 2687, 3]","[2, 2970, 3]",4,4,3,3
"['▁stay', '.']","['▁बस्नुहोस्', '।']",['▁stay.'],['▁बस्नुहोस्।'],"[2, 410, 4, 3]","[2, 2819, 4, 3]","[2, 1281, 3]","[2, 1155, 3]",4,4,3,3
"['▁he', 'll', 'o', '!']","['▁न', 'मस्ते', '!']",['▁hello!'],['▁नमस्ते!'],"[2, 46, 39, 2974, 5, 3]","[2, 55, 2324, 2982, 3]","[2, 1, 3]","[2, 2292, 3]",6,5,3,3
"['▁smile', '.']","['▁मुस्क', 'ान', '।']",['▁smile.'],['▁मुस्कान।'],"[2, 2105, 4, 3]","[2, 2531, 64, 4, 3]","[2, 1436, 3]","[2, 2836, 3]",4,5,3,3
"['▁att', 'ack', '!']","['▁आक्रमण', '!']",['▁attack!'],['▁आक्रमण!'],"[2, 736, 245, 5, 3]","[2, 2578, 2982, 3]","[2, 1, 3]","[2, 1497, 3]",5,4,3,3
"['▁go', '▁slow', '.']","['▁बिस्तारै', '▁ज', 'ाउ', '।']","['▁go', '▁slow.']","['▁बिस्तारै', '▁जाउ।']","[2, 76, 1534, 4, 3]","[2, 1976, 44, 69, 4, 3]","[2, 53, 1, 3]","[2, 761, 1997, 3]",5,6,4,4
"['▁i', '▁am', '▁tom', '.']","['▁म', '▁टम', '▁हुँ', '।']","['▁i', '▁am', '▁tom.']","['▁म', '▁टम', '▁हुँ।']","[2, 8, 104, 22, 4, 3]","[2, 6, 16, 140, 4, 3]","[2, 4, 28, 63, 3]","[2, 4, 5, 48, 3]",6,6,5,5
"['▁find', '▁tom', '.']","['▁टमलाई', '▁खोज', '।']","['▁find', '▁tom.']","['▁टमलाई', '▁खोज।']","[2, 496, 22, 4, 3]","[2, 116, 447, 4, 3]","[2, 155, 63, 3]","[2, 18, 1753, 3]",5,5,4,4
